id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,internacional
2007,Estados Unidos,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2008,Canadá,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2009,México,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2010,Cuba,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2011,República Dominicana,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2012,Chile,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2013,Perú,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2014,Colombia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2015,Venezuela,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2016,Ecuador,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2017,Bolivia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2018,Uruguay,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2019,Paraguay,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2020,Australia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2021,Japón,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2022,China,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2023,Corea del Sur,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2024,India,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2025,Tailandia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2026,Vietnam,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2027,Indonesia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2028,Filipinas,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2029,Marruecos,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2030,Argelia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2031,Túnez,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2032,Sudáfrica,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2033,Kenia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2034,Nigeria,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2035,Etiopía,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2036,Israel,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2037,Arabia Saudí,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2038,Emiratos Árabes Unidos,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2039,Rafael Benítez,Deportes,Entrenador,Alta,Media,Actual,Internacional,true
2040,Unai Emery,Deportes,Entrenador,Alta,Media,Actual,Internacional,true
2041,Sergio Scariolo,Deportes,Baloncesto,Media,Difícil,Actual,Internacional,true
2042,Mireia Belmonte,Deportes,Natación,Muy alta,Fácil,Actual,Internacional,true
2043,Alberto Ginés,Deportes,Escalada,Media,Difícil,Actual,Internacional,true
2044,Teresa Perales,Deportes,Natación,Media,Difícil,Actual,Internacional,true
2045,Sergio Canales,Deportes,Futbolista,Alta,Media,Actual,Internacional,true
2046,Marvin Gaye,Música,Cantante,Media,Difícil,Actual,Internacional,true
2047,Rage Against the Machine,Música,Grupo,Media,Difícil,Actual,Internacional,true
2048,The Offspring,Música,Grupo,Media,Difícil,Actual,Internacional,true
2049,Blink-182,Música,Grupo,Media,Difícil,Actual,Internacional,true
2050,Alicia Vikander,Cine y TV,Actriz,Media,Difícil,Actual,Internacional,true
2051,Viola Davis,Cine y TV,Actriz,Media,Difícil,Actual,Internacional,true
2052,Dustin Hoffman,Cine y TV,Actor,Alta,Media,Actual,Internacional,true
2053,Gene Kelly,Cine y TV,Actor,Media,Difícil,Actual,Internacional,true
2054,Jackie Chan,Cine y TV,Actor,Muy alta,Fácil,Actual,Internacional,true
2055,Bruce Lee,Cine y TV,Actor,Muy alta,Fácil,Actual,Internacional,true
2056,Jet Li,Cine y TV,Actor,Media,Difícil,Actual,Internacional,true
2057,Mel Gibson,Cine y TV,Actor,Alta,Media,Actual,Internacional,true
2058,Michelle Yeoh,Cine y TV,Actriz,Media,Difícil,Actual,Internacional,true
2059,Christopher Walken,Cine y TV,Actor,Media,Difícil,Actual,Internacional,true
2060,Macaulay Culkin,Cine y TV,Actor,Muy alta,Fácil,Actual,Internacional,true
2061,Wes Anderson,Cine y TV,Director,Media,Difícil,Actual,Internacional,true
2062,Steven Spielberg,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2063,Martin Scorsese,Cine y TV,Director,Alta,Media,Actual,Internacional,true
2064,Quentin Tarantino,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2065,Christopher Nolan,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2066,Tim Burton,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2067,Hayao Miyazaki,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2068,Guillermo del Toro,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2069,James Cameron,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2070,Ridley Scott,Cine y TV,Director,Alta,Media,Actual,Internacional,true
2071,George Lucas,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,true
2072,Francis Ford Coppola,Cine y TV,Director,Alta,Media,Actual,Internacional,true
2073,El Principito,Literatura,Obra,Muy alta,Fácil,Histórica,Internacional,true
2074,El código Da Vinci,Literatura,Obra,Alta,Media,Actual,Internacional,true
2075,Carolina Marín,Deportes,Bádminton,Media,Difícil,Actual,Internacional,true
2076,Mala Rodríguez,Música,Rap,Alta,Media,Actual,Nacional,false
2077,C. Tangana,Música,Cantante,Alta,Media,Actual,Internacional,true
2078,Patricio Estrella,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
2079,Popeye,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
2080,Sancho Panza,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
2081,Peter Griffin,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2082,Stewie Griffin,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2083,Sailor Moon,Cine y TV,Personaje,Media,Difícil,Siglo XX,Internacional,true
2084,Farmacia de Guardia,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
2085,Cuéntame cómo pasó,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
2086,Verano Azul,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
2087,Los Serrano,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
2088,7 vidas,Cine y TV,Serie,Alta,Media,Siglo XX,Nacional,false
2089,La Casa de las Flores,Cine y TV,Serie,Media,Difícil,Actual,Internacional,true
2090,Seinfeld,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2091,Merlí,Cine y TV,Serie,Alta,Media,Siglo XX,Nacional,false
2092,Paquita Salas,Cine y TV,Serie,Muy alta,Fácil,Actual,Nacional,false
2093,El Ministerio del Tiempo,Cine y TV,Serie,Alta,Media,Siglo XX,Nacional,false
2094,Los hombres de Paco,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
2095,Médico de familia,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
2096,Un paso adelante,Cine y TV,Serie,Alta,Media,Siglo XX,Nacional,false
2097,Compañeros,Cine y TV,Serie,Alta,Media,Siglo XX,Nacional,false
2098,Los Protegidos,Cine y TV,Serie,Alta,Media,Siglo XX,Nacional,false
2099,Los Goonies,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
2100,Depredador,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
2102,1984,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
2103,La Odisea,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
2104,La Divina Comedia,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
2105,Alexander Fleming,Ciencia,Científico,Alta,Media,Siglo XX,Internacional,true
2106,Juana de Arco,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
2107,Gaston Lagaffe,Cine y TV,Personaje,Media,Difícil,Siglo XX,Internacional,true
2108,Zipi,Cine y TV,Personaje,Media,Difícil,Siglo XX,Nacional,false
2109,Zape,Cine y TV,Personaje,Media,Difícil,Siglo XX,Nacional,false
2110,Superlópez,Cine y TV,Personaje,Media,Difícil,Siglo XX,Nacional,false
2111,Calimero,Cine y TV,Personaje,Media,Difícil,Siglo XX,Internacional,true
2112,Tigger,Cine y TV,Personaje,Alta,Media,Siglo XX,Internacional,true
2113,Po,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2114,Luffy,Cine y TV,Personaje,Media,Difícil,Actual,Internacional,true
2115,Expediente X,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2116,Dallas,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2117,Dinastía,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2118,Cheers,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2119,Embrujada,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2120,Los Roper,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2121,Scrubs,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2122,Hijos de la Anarquía,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2123,Dark,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2124,Ozark,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2125,The Bear,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2126,Succession,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2127,Yellowstone,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2128,The Good Doctor,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2129,La Unidad,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
2130,30 monedas,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2131,Antidisturbios,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2132,La Mesías,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
2134,Los Aurones,Cine y TV,Serie,Media,Difícil,Siglo XX,Nacional,false
2135,Lawrence de Arabia,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2136,Doctor Zhivago,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2137,El apartamento,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2138,Flashdance,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2139,Fama,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2140,Creed,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2141,Tron,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2142,Sting,Música,Cantante,Alta,Media,Siglo XX,Internacional,true
2143,Diana Ross,Música,Cantante,Media,Difícil,Siglo XX,Internacional,true
2144,Janis Joplin,Música,Cantante,Media,Difícil,Siglo XX,Internacional,true
2145,Louis Armstrong,Música,Cantante,Alta,Media,Siglo XX,Internacional,true
2146,James Brown,Música,Cantante,Media,Difícil,Siglo XX,Internacional,true
2147,Shania Twain,Música,Cantante,Media,Difícil,Siglo XX,Internacional,true
2148,Foo Fighters,Música,Grupo,Media,Difícil,Actual,Internacional,true
2149,Duran Duran,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
2150,Radiohead,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
2151,Los Secretos,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
2152,Fito Cabrales,Música,Cantante,Media,Difícil,Actual,Nacional,false
2153,Nathy Peluso,Música,Cantante,Media,Difícil,Actual,Internacional,true
2154,Duki,Música,Rap,Media,Difícil,Actual,Internacional,true
2155,Ronald Koeman,Deportes,Futbolista,Media,Difícil,Siglo XX,Internacional,true
2156,Álex Crivillé,Deportes,Motociclismo,Media,Difícil,Siglo XX,Internacional,true
2157,Garbiñe Muguruza,Deportes,Tenis,Media,Difícil,Siglo XX,Internacional,true
2158,Arantxa Sánchez Vicario,Deportes,Tenis,Media,Difícil,Siglo XX,Internacional,true
2159,Conchita Martínez,Deportes,Tenis,Media,Difícil,Siglo XX,Internacional,true
2160,El Greco,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
2161,Marco Polo,Historia,Explorador,Alta,Media,Siglo XX,Internacional,true
2162,Amelia Earhart,Historia,Aviadora,Alta,Media,Siglo XX,Internacional,true
2163,Miguel de Unamuno,Literatura,Escritor,Alta,Media,Siglo XX,Nacional,false
2164,Lope de Vega,Literatura,Escritor,Alta,Media,Siglo XX,Nacional,false
2165,Mark Twain,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
2166,Odin,Cultura,Mitología nórdica,Alta,Media,Siglo XX,Internacional,true
2167,Shazam!,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2168,Black Adam,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2169,Rocketman,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2170,La mala educación,Cine y TV,Película,Alta,Media,Actual,Nacional,false
2171,Mientras dure la guerra,Cine y TV,Película,Media,Difícil,Actual,Nacional,false
2172,El reino,Cine y TV,Película,Media,Difícil,Actual,Nacional,false
2173,"Kiki, el amor se hace",Cine y TV,Película,Media,Difícil,Actual,Nacional,false
2174,Pagafantas,Cine y TV,Película,Media,Difícil,Siglo XX,Nacional,false
2175,Villaviciosa de al lado,Cine y TV,Película,Media,Difícil,Actual,Nacional,false
2176,Secretos del corazón,Cine y TV,Película,Media,Difícil,Siglo XX,Nacional,false
2177,El bola,Cine y TV,Película,Media,Difícil,Siglo XX,Nacional,false
2178,Hannibal,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2179,Los Tudor,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2180,Mad Men,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2181,Andor,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2182,Falcon y el Soldado de Invierno,Cine y TV,Serie,Media,Difícil,Actual,Internacional,true
2183,Jessica Jones,Cine y TV,Serie,Media,Difícil,Siglo XX,Internacional,true
2184,Agentes de SHIELD,Cine y TV,Serie,Media,Difícil,Siglo XX,Internacional,true
2185,Los informáticos,Cine y TV,Serie,Media,Difícil,Siglo XX,Internacional,true
2186,Frasier,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2187,Will y Grace,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2188,Acacias 38,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2189,Gran Reserva,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
2190,Los pacientes del doctor García,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
2191,"Señor, dame paciencia",Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
2192,Iznogoud,Cine y TV,Personaje,Media,Difícil,Siglo XX,Internacional,true
2193,Calvin,Cine y TV,Personaje,Media,Difícil,Siglo XX,Internacional,true
2194,Hobbes,Cine y TV,Personaje,Media,Difícil,Siglo XX,Internacional,true
2195,Atlantis: El imperio perdido,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2196,El planeta del tesoro,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2197,Yu-Gi-Oh!,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2199,Periodistas,Cine y TV,Serie,Alta,Media,Siglo XX,Nacional,false
2200,Arde Madrid,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2201,Hierro,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2202,Patria,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2203,La novia gitana,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
2204,Reina Roja,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2205,El cuerpo en llamas,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
2206,Corto Maltés,Cine y TV,Personaje,Media,Difícil,Siglo XX,Internacional,true
2207,Kratos,Cine y TV,Personaje,Media,Difícil,Actual,Internacional,true
2208,Master Chief,Cine y TV,Personaje,Media,Difícil,Actual,Internacional,true
2209,Marco Antonio,Historia,Político romano,Baja,Muy difícil,Siglo XX,Internacional,true
2210,Nueva Delhi,Lugares,Ciudad,Media,Difícil,Actual,Internacional,true
2212,Reservoir Dogs,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2213,La huérfana,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2214,El corredor del laberinto,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2217,La princesa Mononoke,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2218,El gigante de hierro,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2219,Oliver y su pandilla,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
2220,El emperador y sus locuras,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2221,Bolt,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
2222,El buen dinosaurio,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2223,Monstruos contra alienígenas,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2224,Megamind,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2225,Rango,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2226,Los Mitchell contra las máquinas,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2228,Transformers,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
2229,Minions,Cine y TV,Película,Alta,Media,Actual,Internacional,true
2231,Desayuno con diamantes,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2232,Wonka,Cine y TV,Película,Alta,Media,Actual,Internacional,true
2233,Cruella,Cine y TV,Película,Alta,Media,Actual,Internacional,true
2234,Eragon,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2235,Zodiac,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2236,La naranja mecánica,Cine y TV,Película,Alta,Media,Actual,Internacional,true
2238,Speed,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2239,Zootrópolis,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
2240,Your Name,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
2241,Dragon Ball,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
2242,Looney Tunes,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
2243,Kim Possible,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2244,Rick y Morty,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
2245,La Casa del Dragón,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2247,Fringe,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
2248,Euphoria,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2249,Orange Is the New Black,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
2250,La ruta,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
2251,George Harrison,Música,Cantante,Alta,Media,Actual,Internacional,true
2252,Rod Stewart,Música,Cantante,Alta,Media,Actual,Internacional,true
2253,Jimi Hendrix,Música,Cantante,Alta,Media,Actual,Internacional,true
2254,Manolo Escobar,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false
2255,Valencia CF,Deportes,Equipos y clubes,Alta,Media,Actual,Internacional,false
2256,Villarreal CF,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,true
2257,Manchester City,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true
2258,Bayern de Múnich,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true
2259,AC Milan,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,true
2260,Ajax,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,true
2261,Brasil,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2262,Francia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2263,Inglaterra,Lugares,País,Muy alta,Fácil,Actual,Internacional,true
2264,Copa del Rey,Deportes,Evento,Muy alta,Fácil,Actual,Nacional,false
2265,NBA,Deportes,Evento,Muy alta,Fácil,Actual,Internacional,true
2266,Roland Garros,Deportes,Evento,Media,Difícil,Actual,Internacional,true
2267,Fórmula 1,Deportes,Evento,Muy alta,Fácil,Actual,Internacional,true
2268,Maratón,Deportes,Evento,Muy alta,Fácil,Actual,Internacional,true
2269,Bota de Oro,Deportes,Evento,Media,Difícil,Actual,Internacional,true
2270,Capitán Trueno,Cine y TV,Personaje,Media,Difícil,Actual,Nacional,false
2273,Bilbo Bolsón,Cine y TV,Personaje,Media,Difícil,Actual,Internacional,true
2276,Rayo McQueen,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
2280,Harry el Sucio,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2281,Walter White,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2282,Jon Snow,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2283,Wednesday Addams,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2284,Groot,Cine y TV,Personaje,Alta,Media,Actual,Internacional,true
2285,Macbeth,Literatura,Obra,Alta,Media,Actual,Internacional,true
2286,El conde de Montecristo,Literatura,Obra,Media,Difícil,Actual,Internacional,true
2287,Rapunzel,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true
2288,El flautista de Hamelín,Literatura,Obra,Media,Difícil,Actual,Internacional,true
2289,Tom Sawyer,Literatura,Personaje,Alta,Media,Actual,Internacional,true
2290,Dr. Jekyll y Mr. Hyde,Literatura,Obra,Media,Difícil,Actual,Internacional,true
2291,Manolito Gafotas,Literatura,Personaje,Media,Difícil,Actual,Nacional,false
2292,Los Pitufos,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
2293,Rafael,Arte,Pintor,Alta,Media,Actual,Internacional,true
2294,Murillo,Arte,Pintor,Alta,Media,Actual,Internacional,true
2300,La joven de la perla,Arte,Cuadro,Alta,Media,Actual,Internacional,true
2301,Saturno devorando a su hijo,Arte,Cuadro,Media,Difícil,Actual,Internacional,true
2302,El caballero de la mano en el pecho,Arte,Cuadro,Media,Difícil,Actual,Internacional,true
2303,El beso de Rodin,Arte,Escultura,Media,Difícil,Actual,Internacional,true
2305,John F. Kennedy,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
2306,Donald Trump,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,Internacional,true
2307,Adolf Hitler,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,Internacional,true
2308,Hipatia,Historia,Personaje histórico,Media,Difícil,Siglo XX,Internacional,true
2309,Américo Vespucio,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
2310,Revolución Industrial,Historia,Evento,Alta,Media,Siglo XX,Internacional,true
2311,Guerra Civil Española,Historia,Evento,Muy alta,Fácil,Siglo XX,Nacional,false
2312,Descubrimiento de América,Historia,Evento,Muy alta,Fácil,Siglo XX,Internacional,true
2313,Edad Media,Historia,Evento,Muy alta,Fácil,Actual,Internacional,true
2315,Cruzadas,Historia,Evento,Alta,Media,Actual,Internacional,true
2316,Tratado de Versalles,Historia,Evento,Alta,Media,Actual,Internacional,true
2317,Batalla de Lepanto,Historia,Evento,Alta,Media,Siglo XX,Nacional,false
2318,Pompeya,Lugares,Ciudad,Media,Difícil,Actual,Internacional,true
2320,Puerta de Brandeburgo,Lugares,Monumento,Baja,Muy difícil,Actual,Internacional,true
2321,Castillo de Neuschwanstein,Lugares,Monumento,Baja,Muy difícil,Actual,Internacional,true
2322,Teatro Romano de Mérida,Lugares,Monumento,Baja,Muy difícil,Actual,Nacional,false
2323,Córdoba,Lugares,Lugar,Media,Difícil,Actual,Nacional,false
2324,San Sebastián,Lugares,Lugar,Media,Difícil,Actual,Nacional,false
2325,Murcia,Lugares,Lugar,Media,Difícil,Actual,Nacional,false
2326,Lanzarote,Lugares,Lugar,Muy alta,Fácil,Actual,Nacional,false
2327,Asturias,Lugares,Lugar,Media,Difícil,Actual,Nacional,false
2328,Cataluña,Lugares,Lugar,Muy alta,Fácil,Actual,Nacional,false
2329,Castilla-La Mancha,Lugares,Lugar,Media,Difícil,Actual,Nacional,false
2330,La Rioja,Lugares,Lugar,Media,Difícil,Actual,Nacional,false
2331,Pirineos,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2333,Himalaya,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2335,Polo Norte,Lugares,Lugar,Muy alta,Fácil,Actual,Internacional,true
2337,Cancún,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2338,Santiago de Chile,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2339,Milán,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2340,Moscú,Lugares,Lugar,Muy alta,Fácil,Actual,Internacional,true
2341,Melbourne,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2342,Bali,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2343,Hawái,Lugares,Lugar,Muy alta,Fácil,Actual,Internacional,true
2344,Universal Studios,Lugares,Lugar,Media,Difícil,Actual,Internacional,true
2345,Nocilla,Marcas,Alimentación,Muy alta,Fácil,Actual,Nacional,false
2346,Campofrío,Marcas,Alimentación,Muy alta,Fácil,Actual,Nacional,false
2347,New Balance,Marcas,Moda,Media,Difícil,Actual,Internacional,true
2348,Marvel,Marcas,Entretenimiento,Muy alta,Fácil,Actual,Internacional,true
2349,Atari,Marcas,Entretenimiento,Media,Difícil,Actual,Internacional,true
2350,Nokia,Marcas,Empresa,Muy alta,Fácil,Actual,Internacional,true
2351,Lamborghini,Marcas,Automoción,Muy alta,Fácil,Actual,Internacional,true
2352,Fiat,Marcas,Automoción,Muy alta,Fácil,Actual,Internacional,true
2353,Vespa,Marcas,Automoción,Muy alta,Fácil,Actual,Internacional,true
2354,Lidl,Marcas,Empresa,Muy alta,Fácil,Actual,Internacional,true
2355,Perseo,Cultura,Mitología,Media,Difícil,Actual,Internacional,true
2356,Vampiro,Cultura,Mitología,Muy alta,Fácil,Actual,Internacional,true
2357,Hada,Cultura,Mitología,Muy alta,Fácil,Actual,Internacional,true
2358,Elfo,Cultura,Mitología,Muy alta,Fácil,Actual,Internacional,true
2359,Orco,Cultura,Mitología,Media,Difícil,Actual,Internacional,true
2360,Merlín,Cultura,Mitología,Muy alta,Fácil,Actual,Internacional,true
2362,Viracocha,Cultura,Mitología,Baja,Muy difícil,Actual,Internacional,true
2364,Grecia Antigua,Historia,Civilizaciones y acontecimientos,Alta,Media,Siglo XX,Internacional,true
2368,Civilización Maya,Historia,Evento,Alta,Media,Siglo XX,Internacional,true
2370,Caída del Muro de Berlín,Historia,Evento,Muy alta,Fácil,Siglo XX,Internacional,true
2371,Hundimiento del Titanic,Historia,Evento,Muy alta,Fácil,Siglo XX,Internacional,true
2372,Peste Negra,Historia,Civilizaciones y acontecimientos,Alta,Media,Siglo XX,Internacional,true
2373,Esparta,Historia,Civilizaciones y acontecimientos,Alta,Media,Siglo XX,Internacional,true
2374,Woodstock,Historia,Civilizaciones y acontecimientos,Alta,Media,Siglo XX,Internacional,true
2375,Salvador Allende,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
2376,Ramsés III,Historia,Personaje histórico,Baja,Muy difícil,Siglo XX,Internacional,true
2377,Constantino,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
2378,Carlomagno,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
2379,Marco Aurelio,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
