id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,infantil,internacional
1798,Sulley,Personajes,Cómic y ficción,Muy alta,Fácil,Actual,Internacional,false,true
1799,Hipo,Personajes,Cómic y ficción,Media,Difícil,Actual,Internacional,false,true
1800,Chimuelo,Personajes,Cómic y ficción,Media,Difícil,Actual,Internacional,false,true
1801,Jack Skellington,Personajes,Cómic y ficción,Muy alta,Fácil,Actual,Internacional,false,true
1802,Camilo José Cela,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1803,Mario Vargas Llosa,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1804,Pablo Neruda,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1805,Jorge Luis Borges,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1806,Julio Cortázar,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1807,Gabriel Miró,Literatura,Escritor,Baja,Muy difícil,Histórica,Internacional,false,true
1808,Francisco de Quevedo,Literatura,Escritor,Alta,Media,Actual,Internacional,false,true
1809,Tirso de Molina,Literatura,Escritor,Baja,Muy difícil,Histórica,Internacional,false,true
1810,Aldous Huxley,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1811,J. R. R. Tolkien,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1812,C. S. Lewis,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1813,Arthur Conan Doyle,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1814,Alexandre Dumas,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1815,F. Scott Fitzgerald,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1817,Fiódor Dostoyevski,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1818,Antón Chéjov,Literatura,Escritor,Baja,Muy difícil,Histórica,Internacional,false,true
1819,Homero,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1820,Virgilio,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1821,Franz Kafka,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1822,Albert Camus,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1823,Robert Louis Stevenson,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1824,Bram Stoker,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1825,Mary Shelley,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1826,Louisa May Alcott,Literatura,Escritor,Baja,Muy difícil,Histórica,Internacional,false,true
1827,Haruki Murakami,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1828,Paulo Coelho,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1829,Stieg Larsson,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1830,Don Quijote de la Mancha,Literatura,Obra,Muy alta,Fácil,Histórica,Internacional,false,true
1831,La casa de Bernarda Alba,Literatura,Obra,Alta,Media,Histórica,Nacional,false,false
1832,Romancero gitano,Literatura,Obra,Media,Difícil,Histórica,Nacional,false,false
1833,Cien años de soledad,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1834,El amor en los tiempos del cólera,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,true
1835,David Copperfield,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,true
1836,Orgullo y prejuicio,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1837,Jane Eyre,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1838,Cumbres Borrascosas,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1839,Un mundo feliz,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1840,Veinte mil leguas de viaje submarino,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,true
1841,Viaje al centro de la Tierra,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,true
1842,El viejo y el mar,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1843,El gran Gatsby,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1844,Crimen y castigo,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1845,Anna Karénina,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1846,Guerra y paz,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1847,Los miserables,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1848,El perfume,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1849,Isabel I de Inglaterra,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1850,Charles de Gaulle,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1851,Atila,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1852,Alan Turing,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1853,Ada Lovelace,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1855,Beethoven,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1856,Mozart,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1857,Bach,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1858,Vivaldi,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1859,Chopin,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1860,Tchaikovsky,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1861,Verdi,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1862,Wagner,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1863,Walt Disney,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
1864,Steve Jobs,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
1865,Bill Gates,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
1866,El Bosco,Arte,Artista,Alta,Media,Histórica,Internacional,false,true
1867,Rubens,Arte,Artista,Alta,Media,Histórica,Internacional,false,true
1875,Pablo Gargallo,Arte,Artista,Baja,Muy difícil,Histórica,Internacional,false,true
1876,Eduardo Chillida,Arte,Artista,Media,Difícil,Histórica,Internacional,false,true
1877,Palma de Mallorca,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,false,true
1878,Vigo,Lugares,Ciudad,Media,Difícil,Actual,Nacional,false,false
1879,A Coruña,Lugares,Ciudad,Media,Difícil,Actual,Nacional,false,false
1880,Oviedo,Lugares,Ciudad,Media,Difícil,Actual,Nacional,false,false
1881,Gijón,Lugares,Ciudad,Media,Difícil,Actual,Nacional,false,false
1882,Pamplona,Lugares,Ciudad,Media,Difícil,Actual,Nacional,false,false
1883,Cádiz,Lugares,Ciudad,Media,Difícil,Actual,Nacional,false,false
1884,Las Palmas,Lugares,Ciudad,Media,Difícil,Actual,Nacional,false,false
1885,Copenhague,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1886,Estocolmo,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1887,Oslo,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1888,Helsinki,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1889,Montreal,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1890,São Paulo,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1891,Quito,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1892,La Paz,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1893,Montevideo,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1894,Punta Cana,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1895,Osaka,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1896,Hong Kong,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1897,Bombay,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1898,Marrakech,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1899,Nairobi,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1900,Johannesburgo,Lugares,Ciudad,Media,Difícil,Actual,Internacional,false,true
1901,Fontana di Trevi,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1902,Torre de Pisa,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1903,Empire State Building,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1904,Puente Golden Gate,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1905,Pentágono,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1906,Monte Rushmore,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1907,Ciudad Prohibida,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1908,Ópera de Sídney,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1909,Burj Khalifa,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1910,Petra,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1911,Mar Muerto,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1912,Islas Galápagos,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1916,Museo Británico,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1918,Silicon Valley,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1919,Área 51,Lugares,Monumento,Media,Difícil,Actual,Internacional,false,true
1921,Orangután,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1922,Lince,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1923,Murciélago,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1924,Calamar,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1925,Halcón,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1926,Caimán,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1927,Avispa,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1928,Saltamontes,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1929,Gusano,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1930,Aldi,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,false,true
1931,Renfe,Marcas,Marca,Muy alta,Fácil,Actual,Nacional,false,false
1932,Jeep,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,false,true
1933,Volvo,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,false,true
1934,Hyundai,Marcas,Marca,Media,Difícil,Actual,Internacional,false,true
1935,Kia,Marcas,Marca,Media,Difícil,Actual,Internacional,false,true
1936,Nissan,Marcas,Marca,Media,Difícil,Actual,Internacional,false,true
1937,Doritos,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,false,true
1938,Haribo,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,false,true
1939,Roblox,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1940,Sonic the Hedgehog,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,false,true
1941,Brawl Stars,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1942,Parcheesi,Videojuegos,Juegos de mesa y cartas,Muy alta,Fácil,Actual,Internacional,false,true
1943,La oca,Videojuegos,Juegos de mesa y cartas,Muy alta,Fácil,Actual,Internacional,false,true
1944,Backgammon,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1945,Cartas,Videojuegos,Juegos de mesa y cartas,Muy alta,Fácil,Actual,Internacional,false,true
1946,Blackjack,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1947,Mus,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1948,Brisca,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1949,Tute,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1950,Solitario,Videojuegos,Juegos de mesa y cartas,Muy alta,Fácil,Actual,Internacional,false,true
1951,Mikado,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1952,Tangram,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1953,Boggle,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1954,Mastermind,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1955,Carcassonne,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1956,Dixit,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1957,Pandemic,Videojuegos,Juegos de mesa y cartas,Media,Difícil,Actual,Internacional,false,true
1960,Cíclope,Mitología,Mitología,Alta,Media,Histórica,Internacional,true,true
1961,Quimera,Mitología,Mitología,Media,Difícil,Histórica,Internacional,false,true
1963,Horus,Mitología,Mitología,Media,Difícil,Histórica,Internacional,false,true
1964,Seth,Mitología,Mitología,Media,Difícil,Histórica,Internacional,false,true
1965,Gilgamesh,Mitología,Mitología,Media,Difícil,Histórica,Internacional,false,true
1966,Marduk,Mitología,Mitología,Baja,Muy difícil,Histórica,Internacional,false,true
1967,Huitzilopochtli,Mitología,Mitología,Baja,Muy difícil,Histórica,Internacional,false,true
1968,Tlaloc,Mitología,Mitología,Baja,Muy difícil,Histórica,Internacional,false,true
1970,Real Sociedad,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1971,Tottenham,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1972,Benfica,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1973,Porto,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1974,Los Angeles Lakers,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,false,true
1975,Boston Celtics,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1976,Chicago Bulls,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,false,true
1977,Golden State Warriors,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1978,Miami Heat,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1979,New York Yankees,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1980,Los Angeles Dodgers,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1981,Chicago Cubs,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1982,New England Patriots,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1983,Dallas Cowboys,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1984,Green Bay Packers,Deportes,Equipos y clubes,Media,Difícil,Actual,Internacional,false,true
1985,Portugal,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1986,Reino Unido,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1987,Irlanda,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1988,Islandia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1989,Noruega,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1990,Suecia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1991,Finlandia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1992,Dinamarca,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1993,Países Bajos,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1994,Bélgica,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1995,Suiza,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1996,Austria,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1997,Polonia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
1998,Chequia,Lugares,País,Alta,Media,Actual,Internacional,false,true
1999,Grecia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2000,Croacia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2001,Rumanía,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2002,Bulgaria,Lugares,País,Baja,Muy difícil,Actual,Internacional,false,true
2003,Hungría,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2004,Ucrania,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2005,Rusia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2006,Turquía,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2007,Estados Unidos,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2008,Canadá,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2009,México,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2010,Cuba,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2011,República Dominicana,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2012,Chile,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2013,Perú,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2014,Colombia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2015,Venezuela,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2016,Ecuador,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2017,Bolivia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2018,Uruguay,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2019,Paraguay,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2020,Australia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2021,Japón,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2022,China,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2023,Corea del Sur,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2024,India,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2025,Tailandia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2026,Vietnam,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2027,Indonesia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2028,Filipinas,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2029,Marruecos,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2030,Argelia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2031,Túnez,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2032,Sudáfrica,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2033,Kenia,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2034,Nigeria,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2035,Etiopía,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2036,Israel,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2037,Arabia Saudí,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2038,Emiratos Árabes Unidos,Lugares,País,Muy alta,Fácil,Actual,Internacional,false,true
2039,Rafael Benítez,Deportes,Entrenador,Alta,Media,Actual,Internacional,false,true
2040,Unai Emery,Deportes,Entrenador,Alta,Media,Actual,Internacional,false,true
2041,Sergio Scariolo,Deportes,Baloncesto,Media,Difícil,Actual,Internacional,false,true
2042,Mireia Belmonte,Deportes,Natación,Muy alta,Fácil,Actual,Internacional,false,true
2043,Alberto Ginés,Deportes,Escalada,Media,Difícil,Actual,Internacional,false,true
2044,Teresa Perales,Deportes,Natación,Media,Difícil,Actual,Internacional,false,true
2045,Sergio Canales,Deportes,Futbolista,Alta,Media,Actual,Internacional,false,true
2046,Marvin Gaye,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
2047,Rage Against the Machine,Música,Grupo,Media,Difícil,Actual,Internacional,false,true
2048,The Offspring,Música,Grupo,Media,Difícil,Actual,Internacional,false,true
2049,Blink-182,Música,Grupo,Media,Difícil,Actual,Internacional,false,true
2050,Alicia Vikander,Cine y TV,Actor/Actriz,Media,Difícil,Actual,Internacional,false,true
2051,Viola Davis,Cine y TV,Actor/Actriz,Media,Difícil,Actual,Internacional,false,true
2052,Dustin Hoffman,Cine y TV,Actor/Actriz,Alta,Media,Actual,Internacional,false,true
2053,Gene Kelly,Cine y TV,Actor/Actriz,Media,Difícil,Actual,Internacional,false,true
2054,Jackie Chan,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
2055,Bruce Lee,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
2056,Jet Li,Cine y TV,Actor/Actriz,Media,Difícil,Actual,Internacional,false,true
2057,Mel Gibson,Cine y TV,Actor/Actriz,Alta,Media,Actual,Internacional,false,true
2058,Michelle Yeoh,Cine y TV,Actor/Actriz,Media,Difícil,Actual,Internacional,false,true
2059,Christopher Walken,Cine y TV,Actor/Actriz,Media,Difícil,Actual,Internacional,false,true
2060,Macaulay Culkin,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
2061,Wes Anderson,Cine y TV,Director/a,Media,Difícil,Actual,Internacional,false,true
2062,Steven Spielberg,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2063,Martin Scorsese,Cine y TV,Director/a,Alta,Media,Actual,Internacional,false,true
2064,Quentin Tarantino,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2065,Christopher Nolan,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2066,Tim Burton,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2067,Hayao Miyazaki,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2068,Guillermo del Toro,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2069,James Cameron,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2070,Ridley Scott,Cine y TV,Director/a,Alta,Media,Actual,Internacional,false,true
2071,George Lucas,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,true
2072,Francis Ford Coppola,Cine y TV,Director/a,Alta,Media,Actual,Internacional,false,true
2073,El Principito,Literatura,Obra,Muy alta,Fácil,Histórica,Internacional,true,true
2074,El código Da Vinci,Literatura,Obra,Alta,Media,Actual,Internacional,false,true
2075,Carolina Marín,Deportes,Bádminton,Media,Difícil,Actual,Internacional,false,true
2076,Mala Rodríguez,Música,Rap,Alta,Media,Actual,Nacional,false,false
2077,C. Tangana,Música,Cantante,Alta,Media,Actual,Internacional,false,true
2078,Patricio Estrella,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
2079,Popeye,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
2080,Sancho Panza,Personajes,Literatura,Muy alta,Fácil,Histórica,Internacional,false,true
2081,Peter Griffin,Personajes,Animación,Alta,Media,Actual,Internacional,false,true
2082,Stewie Griffin,Personajes,Animación,Alta,Media,Actual,Internacional,false,true
2083,Sailor Moon,Personajes,Anime,Media,Difícil,Histórica,Internacional,false,true
2084,Farmacia de Guardia,Series,Comedia,Muy alta,Fácil,Histórica,Nacional,false,false
2085,Cuéntame cómo pasó,Series,Drama,Muy alta,Fácil,Clásica,Nacional,false,false
2086,Verano Azul,Series,Drama,Muy alta,Fácil,Clásica,Nacional,false,false
2087,Los Serrano,Series,Comedia,Muy alta,Fácil,Histórica,Nacional,false,false
2088,7 vidas,Series,Comedia,Alta,Media,Clásica,Nacional,false,false
2089,La Casa de las Flores,Series,Comedia,Media,Difícil,Actual,Internacional,false,true
2090,Seinfeld,Series,Comedia,Alta,Media,Clásica,Internacional,false,true
2091,Merlí,Series,Drama,Alta,Media,Histórica,Nacional,false,false
2092,Paquita Salas,Series,Comedia,Muy alta,Fácil,Actual,Nacional,false,false
2093,El Ministerio del Tiempo,Series,Ciencia ficción,Alta,Media,Histórica,Nacional,false,false
2094,Los hombres de Paco,Series,Comedia,Muy alta,Fácil,Histórica,Nacional,false,false
2095,Médico de familia,Series,Comedia,Muy alta,Fácil,Histórica,Nacional,false,false
2096,Un paso adelante,Series,Drama,Alta,Media,Histórica,Nacional,false,false
2097,Compañeros,Series,Drama,Alta,Media,Histórica,Nacional,false,false
2098,Los Protegidos,Series,Fantasía,Alta,Media,Histórica,Nacional,false,false
2099,Los Goonies,Películas,Aventuras,Muy alta,Fácil,Histórica,Internacional,false,true
2100,Depredador,Películas,Acción,Alta,Media,Histórica,Internacional,false,true
2102,1984,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
2103,La Odisea,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
2104,La Divina Comedia,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
2105,Alexander Fleming,Ciencia,Científico,Alta,Media,Histórica,Internacional,true,true
2106,Juana de Arco,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
2107,Gaston Lagaffe,Personajes,Cómic,Media,Difícil,Histórica,Internacional,false,true
2108,Zipi,Personajes,Cómic,Media,Difícil,Histórica,Nacional,false,false
2109,Zape,Personajes,Cómic,Media,Difícil,Histórica,Nacional,false,false
2110,Superlópez,Personajes,Cómic,Media,Difícil,Histórica,Nacional,false,false
2111,Calimero,Personajes,Animación,Media,Difícil,Histórica,Internacional,false,true
2112,Tigger,Personajes,Animación,Alta,Media,Histórica,Internacional,true,true
2113,Po,Personajes,Animación,Alta,Media,Actual,Internacional,true,true
2114,Luffy,Personajes,Anime,Media,Difícil,Actual,Internacional,false,true
2115,Expediente X,Series,Ciencia ficción,Alta,Media,Clásica,Internacional,false,true
2116,Dallas,Series,Drama,Alta,Media,Histórica,Internacional,false,true
2117,Dinastía,Series,Drama,Alta,Media,Histórica,Internacional,false,true
2118,Cheers,Series,Comedia,Alta,Media,Histórica,Internacional,false,true
2119,Embrujada,Series,Comedia,Alta,Media,Histórica,Internacional,false,true
2120,Los Roper,Series,Comedia,Alta,Media,Histórica,Internacional,false,true
2121,Scrubs,Series,Comedia,Alta,Media,Histórica,Internacional,false,true
2122,Hijos de la Anarquía,Series,Drama,Alta,Media,Histórica,Internacional,false,true
2123,Dark,Series,Ciencia ficción,Alta,Media,Actual,Internacional,false,true
2124,Ozark,Series,Drama,Alta,Media,Actual,Internacional,false,true
2125,The Bear,Series,Drama,Alta,Media,Actual,Internacional,false,true
2126,Succession,Series,Drama,Alta,Media,Actual,Internacional,false,true
2127,Yellowstone,Series,Drama,Alta,Media,Actual,Internacional,false,true
2128,The Good Doctor,Series,Drama,Alta,Media,Actual,Internacional,false,true
2129,La Unidad,Series,Policiaca,Media,Difícil,Actual,Nacional,false,false
2130,30 monedas,Series,Terror,Alta,Media,Actual,Nacional,false,false
2131,Antidisturbios,Series,Drama,Alta,Media,Actual,Nacional,false,false
2132,La Mesías,Series,Drama,Media,Difícil,Actual,Nacional,false,false
2134,Los Aurones,Series,Infantil,Media,Difícil,Histórica,Nacional,false,false
2135,Lawrence de Arabia,Películas,Aventuras,Media,Difícil,Histórica,Internacional,false,true
2136,Doctor Zhivago,Películas,Drama,Media,Difícil,Histórica,Internacional,false,true
2137,El apartamento,Películas,Comedia,Media,Difícil,Histórica,Internacional,false,true
2138,Flashdance,Películas,Musical,Media,Difícil,Histórica,Internacional,false,true
2139,Fama,Películas,Musical,Media,Difícil,Histórica,Internacional,false,true
2140,Creed,Películas,Deportes,Media,Difícil,Actual,Internacional,false,true
2141,Tron,Películas,Ciencia ficción,Media,Difícil,Histórica,Internacional,false,true
2142,Sting,Música,Cantante,Alta,Media,Histórica,Internacional,false,true
2143,Diana Ross,Música,Cantante,Media,Difícil,Histórica,Internacional,false,true
2144,Janis Joplin,Música,Cantante,Media,Difícil,Histórica,Internacional,false,true
