id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,tipo,infantil
2083,Polvorón,Gastronomía,Platos españoles,Muy alta,Media,Actual,Objeto,Sí
2084,Turrón,Gastronomía,Platos españoles,Muy alta,Media,Actual,Objeto,Sí
2085,Natillas,Gastronomía,Platos españoles,Muy alta,Media,Actual,Objeto,Sí
2086,Leche frita,Gastronomía,Platos españoles,Muy alta,Media,Actual,Objeto,Sí
2087,Buñuelos,Gastronomía,Platos españoles,Muy alta,Media,Actual,Objeto,Sí
2088,Pincho de tortilla,Gastronomía,Platos españoles,Muy alta,Media,Actual,Objeto,Sí
2089,Bocadillo de calamares,Gastronomía,Platos españoles,Muy alta,Media,Actual,Objeto,Sí
2090,Burrito,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2091,Guacamole,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2092,Pad Thai,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2093,Cuscús,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2094,Falafel,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2095,Hummus,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2096,Lasagna,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2097,Espaguetis,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2098,Risotto,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2099,Ravioli,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2100,Carbonara,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2101,Croissant,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2102,Crepe,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2103,Quiche,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2104,Fondue,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2105,Fish and chips,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2106,Pancakes,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2107,Brownie,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2108,Cupcake,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2109,Muffin,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2110,Macaron,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2111,Mermelada,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2112,Wasabi,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2113,Salsa de soja,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2114,Cacao,Gastronomía,Comida internacional,Muy alta,Media,Actual,Objeto,Sí
2115,Orangután,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2116,Lince,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2117,Murciélago,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2118,Calamar,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2119,Halcón,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2120,Caimán,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2121,Avispa,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2122,Saltamontes,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2123,Gusano,Naturaleza,Animales,Muy alta,Media,Actual,Animal,Sí
2124,Margarita,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2125,Tulipán,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2126,Orquídea,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2127,Clavel,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2128,Lavanda,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2129,Romero,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2130,Tomillo,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2131,Albahaca,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2132,Menta,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2133,Palmera,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2134,Olivo,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2135,Roble,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2136,Pino,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2137,Abeto,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2138,Encina,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2139,Eucalipto,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2140,Baobab,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2141,Sequoia,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2142,Bonsái,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2143,Hiedra,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2144,Aloe vera,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2145,Trigo,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2146,Maíz,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2147,Arroz,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2148,Tomate,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2149,Patata,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2150,Zanahoria,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2151,Lechuga,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2152,Calabaza,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2153,Bosque,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2154,Selva,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2155,Desierto,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2156,Montaña,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2157,Valle,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2158,Isla,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2159,Cueva,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2160,Cascada,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2161,Lago,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2162,Arrecife de coral,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2163,Sabana,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2164,Acantilado,Naturaleza,Plantas y paisajes,Muy alta,Media,Actual,Objeto,Sí
2165,Aldi,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2166,Renfe,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2167,Jeep,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2168,Volvo,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2169,Hyundai,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2170,Kia,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2171,Nissan,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2172,Doritos,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2173,Haribo,Marcas,Marcas populares,Muy alta,Fácil,Actual,Marca,Sí
2174,Roblox,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2175,Doom,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2176,Minecraft Dungeons,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2177,Plants vs. Zombies,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2178,Metroid,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2179,Luigi’s Mansion,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2180,Wario,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2181,Yoshi,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2182,Mega Man,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2183,Sonic the Hedgehog,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2184,SimCity,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2185,StarCraft,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2186,Warcraft,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2187,Dota 2,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2188,PUBG,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2189,Apex Legends,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2190,Valorant,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2191,Brawl Stars,Videojuegos y juegos,Videojuegos,Muy alta,Media,Actual,Juego,Sí
2192,Parcheesi,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2193,La oca,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2194,Backgammon,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2195,Cartas,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2196,Blackjack,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2197,Mus,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2198,Brisca,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2199,Tute,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2200,Solitario,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2201,Mikado,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2202,Tangram,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2203,Rubik,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2204,Boggle,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2205,Mastermind,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2206,Party & Co,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2207,Cranium,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2208,Tabú,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2209,Time’s Up,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2210,Scattergories,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2211,Catan,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2212,Carcassonne,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2213,Dixit,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2214,Ticket to Ride,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2215,Dobble,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2216,Exploding Kittens,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2217,Azul,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2218,Pandemic,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2219,Cluedo Junior,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2220,Monopoly Junior,Videojuegos y juegos,Juegos de mesa y cartas,Muy alta,Media,Actual,Juego,Sí
2221,Dioniso,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2222,Heracles,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2223,Cíclope,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2224,Quimera,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2225,Baldur,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2226,Horus,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2227,Seth,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2228,Gilgamesh,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2229,Marduk,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2230,Huitzilopochtli,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2231,Tlaloc,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2232,Inti,Mitología,Dioses y criaturas,Muy alta,Fácil,Histórica,Personaje,Sí
2233,Real Sociedad,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2234,Tottenham,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2235,Benfica,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2236,Porto,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2237,Los Angeles Lakers,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2238,Boston Celtics,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2239,Chicago Bulls,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2240,Golden State Warriors,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2241,Miami Heat,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2242,New York Yankees,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2243,Los Angeles Dodgers,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2244,Chicago Cubs,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2245,New England Patriots,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2246,Dallas Cowboys,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2247,Green Bay Packers,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Equipo,Sí
2248,Portugal,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2249,Reino Unido,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2250,Irlanda,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2251,Islandia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2252,Noruega,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2253,Suecia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2254,Finlandia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2255,Dinamarca,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2256,Países Bajos,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2257,Bélgica,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2258,Suiza,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2259,Austria,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2260,Polonia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2261,Chequia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2262,Grecia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2263,Croacia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2264,Rumanía,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2265,Bulgaria,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2266,Hungría,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2267,Ucrania,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2268,Rusia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2269,Turquía,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2270,Estados Unidos,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2271,Canadá,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2272,México,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2273,Cuba,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2274,República Dominicana,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2275,Chile,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2276,Perú,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2277,Colombia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2278,Venezuela,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2279,Ecuador,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2280,Bolivia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2281,Uruguay,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2282,Paraguay,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2283,Australia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2284,Japón,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2285,China,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2286,Corea del Sur,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2287,India,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2288,Tailandia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2289,Vietnam,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2290,Indonesia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2291,Filipinas,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2292,Marruecos,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2293,Argelia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2294,Túnez,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2295,Sudáfrica,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2296,Kenia,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2297,Nigeria,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2298,Etiopía,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2299,Israel,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2300,Arabia Saudí,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2301,Emiratos Árabes Unidos,Lugares,Países,Muy alta,Fácil,Actual,Lugar,Sí
2302,Rafael Benítez,Deportes,Entrenadores,Muy alta,Fácil,Actual,Persona,Sí
2303,Unai Emery,Deportes,Entrenadores,Muy alta,Fácil,Actual,Persona,Sí
2304,Sergio Scariolo,Deportes,Baloncesto,Muy alta,Fácil,Actual,Persona,Sí
2305,Mireia Belmonte,Deportes,Natación,Muy alta,Fácil,Actual,Persona,Sí
2306,Alberto Ginés,Deportes,Escalada,Muy alta,Fácil,Actual,Persona,Sí
2307,Teresa Perales,Deportes,Natación,Muy alta,Fácil,Actual,Persona,Sí
2308,Sergio Canales,Deportes,Fútbol,Muy alta,Fácil,Actual,Persona,Sí
2309,Marvin Gaye,Música,Cantantes internacionales,Muy alta,Fácil,Actual,Persona,Sí
2310,Rage Against the Machine,Música,Grupos y bandas,Muy alta,Difícil,Actual,Grupo,Sí
2311,The Offspring,Música,Grupos y bandas,Muy alta,Difícil,Actual,Grupo,Sí
2312,Blink-182,Música,Grupos y bandas,Muy alta,Difícil,Actual,Grupo,Sí
2313,Alicia Vikander,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2314,Viola Davis,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2315,Dustin Hoffman,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2316,Gene Kelly,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2317,Jackie Chan,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2318,Bruce Lee,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2319,Jet Li,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2320,Mel Gibson,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2321,Michelle Yeoh,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2322,Christopher Walken,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2323,Macaulay Culkin,Cine,Actores y actrices,Muy alta,Fácil,Actual,Persona,Sí
2324,Wes Anderson,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2325,Steven Spielberg,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2326,Martin Scorsese,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2327,Quentin Tarantino,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2328,Christopher Nolan,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2329,Tim Burton,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2330,Hayao Miyazaki,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2331,Guillermo del Toro,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2332,James Cameron,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2333,Ridley Scott,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2334,George Lucas,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2335,Francis Ford Coppola,Cine,Directores,Muy alta,Media,Actual,Persona,Sí
2336,Albert Einstein,Ciencia,Físico,Muy alta,Muy difícil,Histórica,Concepto,Sí
2337,Isaac Newton,Ciencia,Físico,Muy alta,Muy difícil,Histórica,Concepto,Sí
2338,Marie Curie,Ciencia,Científica,Muy alta,Difícil,Histórica,Concepto,Sí
2339,Charles Darwin,Ciencia,Naturalista,Muy alta,Difícil,Histórica,Concepto,Sí
2340,Aristóteles,Historia y pensamiento,Filósofo,Muy alta,Difícil,Histórica,Concepto,Sí
2341,Cleopatra,Historia y pensamiento,Personaje histórico,Muy alta,Difícil,Histórica,Concepto,Sí
2342,Napoleón Bonaparte,Historia y pensamiento,Personaje histórico,Muy alta,Difícil,Histórica,Concepto,Sí
2343,El Principito,Literatura,Libro,Muy alta,Difícil,Histórica,Libro,Sí
2344,El código Da Vinci,Literatura,Novela,Muy alta,Difícil,Actual,Libro,Sí
2345,La gravedad,Ciencia,Física,Muy alta,Difícil,Histórica,Concepto,Sí
2346,El sistema solar,Ciencia,Astronomía,Muy alta,Difícil,Histórica,Concepto,Sí
2347,El agujero negro,Ciencia,Astronomía,Muy alta,Difícil,Histórica,Concepto,Sí
2348,La Vía Láctea,Ciencia,Astronomía,Muy alta,Difícil,Histórica,Concepto,Sí
2349,El Big Bang,Ciencia,Astronomía,Muy alta,Difícil,Histórica,Concepto,Sí
2350,El microscopio,Ciencia,Invento,Muy alta,Difícil,Histórica,Objeto,Sí
2351,El telescopio,Ciencia,Invento,Muy alta,Difícil,Histórica,Objeto,Sí
2352,La bombilla,Ciencia,Invento,Muy alta,Difícil,Histórica,Objeto,Sí
2353,La electricidad,Ciencia,Física,Muy alta,Difícil,Histórica,Concepto,Sí
2354,El teléfono,Ciencia,Invento,Muy alta,Difícil,Histórica,Objeto,Sí
2355,La Luna,Ciencia,Astronomía,Muy alta,Difícil,Histórica,Objeto,Sí
2356,El Sol,Ciencia,Astronomía,Muy alta,Difícil,Histórica,Objeto,Sí
2357,El avión,Ciencia,Inventos,Muy alta,Difícil,Histórica,Objeto,Sí
2358,La imprenta,Ciencia,Inventos,Muy alta,Difícil,Histórica,Objeto,Sí
2359,La rueda,Ciencia,Inventos,Muy alta,Difícil,Histórica,Objeto,Sí
2360,Platero y Tú,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2361,Alaska,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2362,Fangoria,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2363,Marc Anthony,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2364,Juan Luis Guerra,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2365,Selena,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2366,Wisin & Yandel,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2367,Jay-Z,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2368,Kanye West,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2369,Olivia Rodrigo,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2370,Demi Lovato,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2371,No Doubt,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2372,Black Sabbath,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2373,Europe,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2374,Pink Floyd,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2375,Imagine,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2376,Yesterday,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2377,Let It Be,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2378,Thriller,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2379,Like a Virgin,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2380,Material Girl,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2381,We Are the Champions,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2382,We Will Rock You,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2383,Stairway to Heaven,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2384,Smells Like Teen Spirit,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2385,Viva la Vida,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
2386,Despacito,Cultura,Cultura popular,Muy alta,Difícil,Actual,Concepto,Sí
